City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,54.05,74,100,11.45,overcast clouds
1,Bluff,NZ,-46.60,168.33,50.81,88,100,8.12,overcast clouds
2,Batemans Bay,AU,-35.72,150.18,51.1,87,100,6.51,overcast clouds
3,Nurota,UZ,40.56,65.69,39.29,41,0,3.53,clear sky
4,Cumra,TR,37.57,32.77,64.54,22,0,2.53,clear sky
5,Longyearbyen,SJ,78.22,15.64,21.04,79,20,8.05,few clouds
6,Coquimbo,CL,-29.95,-71.34,65.93,39,0,14.97,clear sky
7,Barrow,US,71.29,-156.79,28.42,80,90,10.36,overcast clouds
8,Mataura,NZ,-46.19,168.86,50.49,82,100,1.14,light rain
9,Naqadeh,IR,36.96,45.39,55.36,47,0,1.79,clear sky
10,Hermanus,ZA,-34.42,19.23,65.89,69,94,9.01,overcast clouds
11,Thompson,CA,55.74,-97.86,44.76,93,90,6.91,mist
12,Rikitea,PF,-23.12,-134.97,74.71,80,91,18.59,light rain
13,Bredasdorp,ZA,-34.53,20.04,63.28,77,9,13.8,clear sky
14,Labuan,MY,5.28,115.24,80.96,88,20,3.0,few clouds
15,Lorengau,PG,-2.02,147.27,80.69,76,98,3.89,overcast clouds
16,Mount Gambier,AU,-37.83,140.77,40.91,93,75,5.75,broken clouds
17,Puerto Ayora,EC,-0.74,-90.35,78.76,81,69,8.01,broken clouds
18,Henties Bay,NA,-22.12,14.28,60.85,65,0,2.66,clear sky
19,Clyde River,CA,70.47,-68.59,37.63,75,75,3.44,broken clouds
20,Chicama,PE,-7.84,-79.15,59.54,63,39,10.56,scattered clouds
21,Lebu,CL,-37.62,-73.65,56.19,70,26,8.77,scattered clouds
22,Tasiilaq,GL,65.61,-37.64,33.96,61,1,3.22,clear sky
23,Nikolskoye,RU,59.70,30.79,53.87,69,21,9.13,few clouds
24,Saldanha,ZA,-33.01,17.94,64.45,63,100,10.33,overcast clouds
25,Kaitangata,NZ,-46.28,169.85,49.46,81,100,4.74,overcast clouds
