City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-10-01 22:40:14,3.0707,172.7902,81.75,79,95,16.24
1,Busselton,AU,2021-10-01 22:38:42,-33.65,115.3333,49.08,81,26,12.53
2,Qaanaaq,GL,2021-10-01 22:40:15,77.484,-69.3632,27.25,91,100,4.18
3,Bluff,NZ,2021-10-01 22:40:15,-46.6,168.3333,54.81,75,100,15.17
4,Hobart,AU,2021-10-01 22:38:47,-42.8794,147.3294,58.12,97,90,10.36
5,Vanavara,RU,2021-10-01 22:40:16,60.34,102.2797,28.76,89,100,3.8
6,Husavik,IS,2021-10-01 22:40:17,66.0449,-17.3389,42.71,98,100,18.37
7,Arraial Do Cabo,BR,2021-10-01 22:40:18,-22.9661,-42.0278,71.46,83,75,6.91
8,Kodiak,US,2021-10-01 22:40:18,57.79,-152.4072,45.91,49,1,24.16
9,Lagunillas,VE,2021-10-01 22:40:19,10.1301,-71.2595,81.48,76,33,3.29
10,San Jose,US,2021-10-01 22:36:46,37.3394,-121.895,93.88,19,20,1.01
11,Chazuta,PE,2021-10-01 22:40:19,-6.5742,-76.1367,88.65,65,44,1.7
12,Narsaq,GL,2021-10-01 22:40:20,60.9167,-46.05,34.02,49,4,1.9
13,Ushuaia,AR,2021-10-01 22:40:20,-54.8,-68.3,40.66,65,40,25.32
14,Khandagayty,RU,2021-10-01 22:40:21,50.7333,92.05,26.46,65,80,9.78
15,Punta Arenas,CL,2021-10-01 22:40:21,-53.15,-70.9167,41.11,65,20,23.02
16,Petropavlovsk-Kamchatskiy,RU,2021-10-01 22:40:21,53.0452,158.6483,50.59,100,90,2.24
17,Piracanjuba,BR,2021-10-01 22:40:22,-17.3028,-49.0167,80.33,48,37,4.03
18,Eureka,US,2021-10-01 22:40:22,40.8021,-124.1637,79.66,75,21,4.0
19,Ambilobe,MG,2021-10-01 22:40:23,-13.2,49.05,67.03,75,52,4.47
20,Nabire,ID,2021-10-01 22:40:23,-3.3667,135.4833,75.6,96,99,2.21
21,Provideniya,RU,2021-10-01 22:40:23,64.3833,-173.3,28.49,73,57,5.57
22,Sibolga,ID,2021-10-01 22:40:24,1.7427,98.7792,75.2,76,100,3.4
23,Ust-Nera,RU,2021-10-01 22:40:24,64.5667,143.2,30.0,87,94,2.35
24,Cape Town,ZA,2021-10-01 22:38:35,-33.9258,18.4232,58.12,68,20,1.14
25,Saint-Philippe,RE,2021-10-01 22:40:25,-21.3585,55.7679,69.39,76,48,11.39
26,Lethem,GY,2021-10-01 22:40:25,3.3803,-59.7968,82.44,64,77,6.24
27,Barrow,US,2021-10-01 22:40:26,71.2906,-156.7887,32.02,80,90,20.71
